Initial, Result, Steps
0, 0, 0
1, 77, 5
2, 77, 4
3, 33, 3
4, 77, 3
5, 11, 2
6, 33, 2
7, 55, 2
8, 77, 2
9, 99, 2
10, 11, 1
11, 11, 0
12, 33, 1
13, 44, 1
14, 55, 1
15, 66, 1
16, 77, 1
17, 88, 1
18, 99, 1
19, 110, 1
20, 22, 1
21, 33, 1
22, 22, 0
23, 55, 1
24, 66, 1
25, 77, 1
26, 88, 1
27, 99, 1
28, 110, 1
29, 121, 1
30, 33, 1
31, 44, 1
32, 55, 1
33, 33, 0
34, 77, 1
35, 88, 1
36, 99, 1
37, 110, 1
38, 121, 1
39, 132, 1
40, 44, 1
41, 55, 1
42, 66, 1
43, 77, 1
44, 44, 0
45, 99, 1
46, 110, 1
47, 121, 1
48, 132, 1
49, 143, 1
50, 55, 1
51, 66, 1
52, 77, 1
53, 88, 1
54, 99, 1
55, 55, 0
56, 121, 1
57, 132, 1
58, 143, 1
59, 154, 1
60, 66, 1
61, 77, 1
62, 88, 1
63, 99, 1
64, 110, 1
65, 121, 1
66, 66, 0
67, 143, 1
68, 154, 1
69, 165, 1
70, 77, 1
71, 88, 1
72, 99, 1
73, 110, 1
74, 121, 1
75, 132, 1
76, 143, 1
77, 77, 0
78, 165, 1
79, 176, 1
80, 88, 1
81, 99, 1
82, 110, 1
83, 121, 1
84, 132, 1
85, 143, 1
86, 154, 1
87, 165, 1
88, 88, 0
89, 187, 1
90, 99, 1
91, 110, 1
92, 121, 1
93, 132, 1
94, 143, 1
95, 154, 1
96, 165, 1
97, 176, 1
98, 187, 1
99, 99, 0
100, 7777, 6
101, 7777, 5
102, 3333, 4
103, 7777, 4
104, 1111, 3
105, 3333, 3
106, 5555, 3
107, 7777, 3
108, 9999, 3
109, 1111, 2
110, 110, 0
111, 8547, 5
112, 4213, 4
113, 8657, 4
114, 1551, 3
115, 3773, 3
116, 5995, 3
117, 8217, 3
118, 10439, 3
119, 1331, 2
120, 10230, 5
121, 121, 0
122, 4103, 4
123, 8547, 4
124, 1991, 3
125, 4213, 3
126, 6435, 3
127, 8657, 3
128, 10879, 3
129, 1551, 2
130, 1991, 5
131, 10879, 5
132, 132, 0
133, 9328, 4
134, 1441, 3
135, 3663, 3
136, 5885, 3
137, 8107, 3
138, 10329, 3
139, 1771, 2
140, 2662, 5
141, 10230, 4
142, 4774, 4
143, 143, 0
144, 1881, 3
145, 4103, 3
146, 6325, 3
147, 8547, 3
148, 10769, 3
149, 1991, 2
150, 3333, 5
151, 1111, 4
152, 5555, 4
153, 9999, 4
154, 154, 0
155, 4444, 3
156, 6666, 3
157, 8888, 3
158, 10010, 2
159, 1221, 2
160, 4103, 5
161, 1991, 4
162, 6435, 4
163, 10879, 4
164, 2662, 3
165, 165, 0
166, 7106, 3
167, 9328, 3
168, 10230, 2
169, 1441, 2
170, 4774, 5
171, 1881, 4
172, 6325, 4
173, 10769, 4
174, 3102, 3
175, 5324, 3
176, 176, 0
177, 9768, 3
178, 10450, 2
179, 1661, 2
180, 6435, 5
181, 2662, 4
182, 7106, 4
183, 10230, 3
184, 2552, 3
185, 4774, 3
186, 6996, 3
187, 187, 0
188, 10670, 2
189, 1881, 2
190, 7106, 5
191, 2552, 4
192, 6996, 4
193, 10670, 3
194, 2992, 3
195, 5214, 3
196, 7436, 3
197, 9658, 3
198, 198, 0
199, 2101, 2
200, 7777, 5
201, 3333, 4
202, 7777, 4
203, 1111, 3
204, 3333, 3
205, 5555, 3
206, 7777, 3
207, 9999, 3
208, 1111, 2
209, 209, 0
210, 8547, 5
211, 4213, 4
212, 8657, 4
213, 1551, 3
214, 3773, 3
215, 5995, 3
216, 8217, 3
217, 10439, 3
218, 1331, 2
219, 2442, 2
220, 220, 0
221, 4103, 4
222, 8547, 4
223, 1991, 3
224, 4213, 3
225, 6435, 3
226, 8657, 3
227, 10879, 3
228, 1551, 2
229, 2662, 2
230, 10879, 5
231, 231, 0
232, 9328, 4
233, 1441, 3
234, 3663, 3
235, 5885, 3
236, 8107, 3
237, 10329, 3
238, 1771, 2
239, 2882, 2
240, 10230, 4
241, 4774, 4
242, 242, 0
243, 1881, 3
244, 4103, 3
245, 6325, 3
246, 8547, 3
247, 10769, 3
248, 1991, 2
249, 3102, 2
250, 1111, 4
251, 5555, 4
252, 9999, 4
253, 253, 0
254, 4444, 3
255, 6666, 3
256, 8888, 3
257, 10010, 2
258, 1221, 2
259, 2332, 2
260, 1991, 4
261, 6435, 4
262, 10879, 4
263, 2662, 3
264, 264, 0
265, 7106, 3
266, 9328, 3
267, 10230, 2
268, 1441, 2
269, 2552, 2
270, 1881, 4
271, 6325, 4
272, 10769, 4
273, 3102, 3
274, 5324, 3
275, 275, 0
276, 9768, 3
277, 10450, 2
278, 1661, 2
279, 2772, 2
280, 2662, 4
281, 7106, 4
282, 10230, 3
283, 2552, 3
284, 4774, 3
285, 6996, 3
286, 286, 0
287, 10670, 2
288, 1881, 2
289, 2992, 2
290, 2552, 4
291, 6996, 4
292, 10670, 3
293, 2992, 3
294, 5214, 3
295, 7436, 3
296, 9658, 3
297, 297, 0
298, 2101, 2
299, 3212, 2
300, 3333, 4
301, 7777, 4
302, 1111, 3
303, 3333, 3
304, 5555, 3
305, 7777, 3
306, 9999, 3
307, 1111, 2
308, 308, 0
309, 3333, 2
310, 4213, 4
311, 8657, 4
312, 1551, 3
313, 3773, 3
314, 5995, 3
315, 8217, 3
316, 10439, 3
317, 1331, 2
318, 2442, 2
319, 319, 0
320, 4103, 4
321, 8547, 4
322, 1991, 3
323, 4213, 3
324, 6435, 3
325, 8657, 3
326, 10879, 3
327, 1551, 2
328, 2662, 2
329, 3773, 2
330, 330, 0
331, 9328, 4
332, 1441, 3
333, 3663, 3
334, 5885, 3
335, 8107, 3
336, 10329, 3
337, 1771, 2
338, 2882, 2
339, 3993, 2
340, 4774, 4
341, 341, 0
342, 1881, 3
343, 4103, 3
344, 6325, 3
345, 8547, 3
346, 10769, 3
347, 1991, 2
348, 3102, 2
349, 4213, 2
350, 5555, 4
351, 9999, 4
352, 352, 0
353, 4444, 3
354, 6666, 3
355, 8888, 3
356, 10010, 2
357, 1221, 2
358, 2332, 2
359, 3443, 2
360, 6435, 4
361, 10879, 4
362, 2662, 3
363, 363, 0
364, 7106, 3
365, 9328, 3
366, 10230, 2
367, 1441, 2
368, 2552, 2
369, 3663, 2
370, 6325, 4
371, 10769, 4
372, 3102, 3
373, 5324, 3
374, 374, 0
375, 9768, 3
376, 10450, 2
377, 1661, 2
378, 2772, 2
379, 3883, 2
380, 7106, 4
381, 10230, 3
382, 2552, 3
383, 4774, 3
384, 6996, 3
385, 385, 0
386, 10670, 2
387, 1881, 2
388, 2992, 2
389, 4103, 2
390, 6996, 4
391, 10670, 3
392, 2992, 3
393, 5214, 3
394, 7436, 3
395, 9658, 3
396, 396, 0
397, 2101, 2
398, 3212, 2
399, 4323, 2
400, 7777, 4
401, 1111, 3
402, 3333, 3
403, 5555, 3
404, 7777, 3
405, 9999, 3
406, 1111, 2
407, 407, 0
408, 3333, 2
409, 4444, 2
410, 8657, 4
411, 1551, 3
412, 3773, 3
413, 5995, 3
414, 8217, 3
415, 10439, 3
416, 1331, 2
417, 2442, 2
418, 418, 0
419, 4664, 2
420, 8547, 4
421, 1991, 3
422, 4213, 3
423, 6435, 3
424, 8657, 3
425, 10879, 3
426, 1551, 2
427, 2662, 2
428, 3773, 2
429, 429, 0
430, 9328, 4
431, 1441, 3
432, 3663, 3
433, 5885, 3
434, 8107, 3
435, 10329, 3
436, 1771, 2
437, 2882, 2
438, 3993, 2
439, 5104, 2
440, 440, 0
441, 1881, 3
442, 4103, 3
443, 6325, 3
444, 8547, 3
445, 10769, 3
446, 1991, 2
447, 3102, 2
448, 4213, 2
449, 5324, 2
450, 9999, 4
451, 451, 0
452, 4444, 3
453, 6666, 3
454, 8888, 3
455, 10010, 2
456, 1221, 2
457, 2332, 2
458, 3443, 2
459, 4554, 2
460, 10879, 4
461, 2662, 3
462, 462, 0
463, 7106, 3
464, 9328, 3
465, 10230, 2
466, 1441, 2
467, 2552, 2
468, 3663, 2
469, 4774, 2
470, 10769, 4
471, 3102, 3
472, 5324, 3
473, 473, 0
474, 9768, 3
475, 10450, 2
476, 1661, 2
477, 2772, 2
478, 3883, 2
479, 4994, 2
480, 10230, 3
481, 2552, 3
482, 4774, 3
483, 6996, 3
484, 484, 0
485, 10670, 2
486, 1881, 2
487, 2992, 2
488, 4103, 2
489, 5214, 2
490, 10670, 3
491, 2992, 3
492, 5214, 3
493, 7436, 3
494, 9658, 3
495, 495, 0
496, 2101, 2
497, 3212, 2
498, 4323, 2
499, 5434, 2
500, 1111, 3
501, 3333, 3
502, 5555, 3
503, 7777, 3
504, 9999, 3
505, 1111, 2
506, 506, 0
507, 3333, 2
508, 4444, 2
509, 5555, 2
510, 1551, 3
511, 3773, 3
512, 5995, 3
513, 8217, 3
514, 10439, 3
515, 1331, 2
516, 2442, 2
517, 517, 0
518, 4664, 2
